"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","year","wdsp","NUM_CRIMES"
"216",0,1,0,0,0,0,0,0,0,0,0,0,2011,5.3,0.652991452991453
"217",0,1,0,0,0,0,0,0,0,0,0,0,2011,4.4,0.716239316239316
"218",0,1,0,0,0,0,0,0,0,0,0,0,2011,5.5,0.647863247863248
"219",0,1,0,0,0,0,0,0,0,0,0,0,2011,3.3,0.678632478632479
"220",0,1,0,0,0,0,0,0,0,0,0,0,2011,4.7,0.842735042735043
"221",0,1,0,0,0,0,0,0,0,0,0,0,2011,5,0.882051282051282
"222",0,1,0,0,0,0,0,0,0,0,0,0,2011,4.1,0.776068376068376
"223",0,1,0,0,0,0,0,0,0,0,0,0,2011,6.5,0.842735042735043
"224",0,1,0,0,0,0,0,0,0,0,0,0,2011,7.9,0.622222222222222
"225",0,1,0,0,0,0,0,0,0,0,0,0,2011,7.5,0.748717948717949
"226",0,1,0,0,0,0,0,0,0,0,0,0,2011,6.1,0.605128205128205
"227",0,1,0,0,0,0,0,0,0,0,0,0,2011,7.5,0.726495726495726
"228",0,1,0,0,0,0,0,0,0,0,0,0,2011,6.6,0.815384615384615
"229",0,1,0,0,0,0,0,0,0,0,0,0,2011,8.9,0.61025641025641
"230",0,1,0,0,0,0,0,0,0,0,0,0,2011,3.8,0.463247863247863
"231",0,1,0,0,0,0,0,0,0,0,0,0,2011,6.8,0.630769230769231
"232",0,1,0,0,0,0,0,0,0,0,0,0,2011,6.4,0.678632478632479
"233",0,1,0,0,0,0,0,0,0,0,0,0,2011,6.8,0.576068376068376
"234",0,1,0,0,0,0,0,0,0,0,0,0,2011,4.9,0.471794871794872
"235",0,1,0,0,0,0,0,0,0,0,0,0,2011,4.2,0.735042735042735
"236",0,1,0,0,0,0,0,0,0,0,0,0,2011,9.2,0.647863247863248
"237",0,1,0,0,0,0,0,0,0,0,0,0,2011,9.8,0.588034188034188
"238",0,1,0,0,0,0,0,0,0,0,0,0,2011,11,0.545299145299145
"239",0,1,0,0,0,0,0,0,0,0,0,0,2011,8.6,0.808547008547009
"240",0,1,0,0,0,0,0,0,0,0,0,0,2011,7.2,0.658119658119658
"241",0,0,0,0,0,0,0,0,0,0,0,1,2011,4.3,0.505982905982906
"242",0,0,0,0,0,0,0,0,0,0,0,1,2011,3.2,0.75042735042735
"243",0,0,0,0,0,0,0,0,0,0,0,1,2011,2.7,0.702564102564103
"244",0,0,0,0,0,0,0,0,0,0,0,1,2011,4.4,0.538461538461538
"245",0,0,0,0,0,0,0,0,0,0,0,1,2011,5.5,0.617094017094017
"246",0,0,0,0,0,0,0,0,0,0,0,1,2011,4.4,0.909401709401709
"247",0,0,0,0,0,0,0,0,0,0,0,1,2011,5,0.564102564102564
"248",0,0,0,0,0,0,0,0,0,0,0,1,2011,6.5,0.485470085470085
"249",0,0,0,0,0,0,0,0,0,0,0,1,2011,8.3,0.642735042735043
"250",0,0,0,0,0,0,0,0,0,0,0,1,2011,6.7,0.574358974358974
"251",0,0,0,0,0,0,0,0,0,0,0,1,2011,5.2,0.439316239316239
"252",0,0,0,0,0,0,0,0,0,0,0,1,2011,3.1,0.533333333333333
"253",0,0,0,0,0,0,0,0,0,0,0,1,2011,3.8,0.588034188034188
"254",0,0,0,0,0,0,0,0,0,0,0,1,2011,7.1,0.815384615384615
"255",0,0,0,0,0,0,0,0,0,0,0,1,2011,9.3,0.52991452991453
"256",0,0,0,0,0,0,0,0,0,0,0,1,2011,7,0.747008547008547
