"","wdsp","NUM_CRIMES"
"2249",9.9,0.68034188034188
"2279",4.8,0.594871794871795
"2294",7.6,0.625641025641026
"2310",7.7,0.747008547008547
"2320",5.4,0.658119658119658
"2328",7,0.811965811965812
"2330",11.1,0.818803418803419
"2335",7.4,0.747008547008547
"2372",2.1,0.512820512820513
"2374",3.8,0.629059829059829
"2387",5.5,1
"2391",4.4,0.651282051282051
"2398",3.6,0.683760683760684
"2403",5.1,0.67008547008547
"2413",5.3,0.652991452991453
"2428",4.4,0.716239316239316
"2433",5.5,0.647863247863248
"2434",3.3,0.678632478632479
"2449",4.7,0.842735042735043
"2464",5,0.882051282051282
"2469",4.1,0.776068376068376
"2483",6.5,0.842735042735043
"2496",7.9,0.622222222222222
"2502",7.5,0.748717948717949
"2506",6.1,0.605128205128205
"2524",7.5,0.726495726495726
"2558",6.6,0.815384615384615
"2565",8.9,0.61025641025641
"2569",3.8,0.463247863247863
"2585",6.8,0.630769230769231
"2593",6.4,0.678632478632479
"2596",6.8,0.576068376068376
"2605",4.9,0.471794871794872
"2614",4.2,0.735042735042735
"2634",9.2,0.647863247863248
"2640",9.8,0.588034188034188
"2653",11,0.545299145299145
"2661",8.6,0.808547008547009
"2667",7.2,0.658119658119658
"2708",4.3,0.505982905982906
"2722",3.2,0.75042735042735
"2724",2.7,0.702564102564103
"2727",4.4,0.538461538461538
"2728",5.5,0.617094017094017
"2742",4.4,0.909401709401709
"2745",5,0.564102564102564
"2751",6.5,0.485470085470085
"2775",8.3,0.642735042735043
"2776",6.7,0.574358974358974
"2792",5.2,0.439316239316239
"2794",3.1,0.533333333333333
"2797",3.8,0.588034188034188
"2811",7.1,0.815384615384615
"2820",9.3,0.52991452991453
"2833",7,0.747008547008547
"2861",8.8,0.543589743589744
"2872",7,0.557264957264957
"2892",9,0.494017094017094
"2895",7.5,0.504273504273504
"2903",7.2,0.687179487179487
"2919",8.8,0.555555555555556
"2920",7.4,0.452991452991453
"2929",13.3,0.494017094017094
"2938",7,0.570940170940171
"2949",8.9,0.723076923076923
"2980",11.9,0.57948717948718
"2990",14,0.482051282051282
"2995",16.1,0.630769230769231
"2999",12.6,0.48034188034188
"3044",2.7,0.535042735042735
"3045",4.5,0.468376068376068
"3050",1.5,0.541880341880342
"3054",5.3,0.61025641025641
"3062",5.3,0.705982905982906
"3065",3.1,0.543589743589744
"3072",4.1,0.61025641025641
"3075",3.9,0.637606837606838
"3085",3.5,0.598290598290598
"3097",4.2,0.671794871794872
"3102",3.9,0.490598290598291
"3106",3.5,0.664957264957265
"3115",5.5,0.415384615384615
"3120",5.7,0.687179487179487
"3137",5.3,0.299145299145299
"3160",6.3,0.618803418803419
"3173",6.8,0.41025641025641
"3187",5,0.454700854700855
"3192",5.4,0.654700854700855
"3198",5.4,0.504273504273504
"3217",8.2,0.517948717948718
"3229",8.7,0.697435897435897
"3230",11.2,0.717948717948718
"3232",10.2,0.452991452991453
"3236",11.3,0.553846153846154
"3315",12.1,0.630769230769231
"3324",14.9,0.386324786324786
"3325",8.1,0.514529914529914
"3327",14.4,0.528205128205128
"3340",7.7,0.634188034188034
"3342",17.1,0.401709401709402
"3469",6.5,0.941880341880342
"3474",5.6,0.55042735042735
"3480",7,0.430769230769231
"3488",9.1,0.548717948717949
"3491",4.2,0.370940170940171
"3515",9.6,0.476923076923077
"3520",6.5,0.694017094017094
"3522",7.4,0.524786324786325
"3528",10.2,0.418803418803419
"3530",5,0.52991452991453
"3535",9.3,0.0991452991452991
"3538",8.6,0.58974358974359
"3545",11,0.384615384615385
"3547",9.9,0.394871794871795
"3552",10.9,0.341880341880342
"3558",12.1,0.48034188034188
"3569",9.6,0.601709401709402
"3584",7.7,0.372649572649573
"3591",10.8,0.295726495726496
"3593",12.2,0.452991452991453
"3594",10.5,0.441025641025641
"3607",10.8,0.362393162393162
"3630",11.6,0.492307692307692
"3632",13.8,0.441025641025641
"3635",16.1,0.48034188034188
"3636",11.7,0.473504273504273
"3640",9.1,0.411965811965812
"3665",12.4,0.411965811965812
"3670",17.7,0.355555555555556
"3674",21,0.408547008547009
"3724",4.1,0.552136752136752
"3727",4.3,0.278632478632479
"3743",4.5,0.683760683760684
"3765",6.5,0.45982905982906
"3799",7.1,0.391452991452991
"3807",6.7,0.593162393162393
"3810",8.6,0.381196581196581
"3824",5.1,0.485470085470085
"3836",6,0.388034188034188
"3837",6.2,0.102564102564103
"3840",8.7,0.312820512820513
"3845",6.8,0.305982905982906
"3851",8,0.355555555555556
"3855",5.7,0.302564102564103
"3859",4.3,0.418803418803419
"3860",7.3,0.138461538461538
"3880",8.8,0.239316239316239
"3883",8.8,0.558974358974359
"3886",7.2,0.34017094017094
"3894",11.5,0.379487179487179
"3896",8.2,0.507692307692308
"3901",8.5,0.461538461538462
"3908",7.5,0.309401709401709
"3909",10.2,0.490598290598291
"3925",8.3,0.482051282051282
"3930",9.2,0.360683760683761
"3948",9.4,0.439316239316239
"3971",12.7,0.394871794871795
"3990",9.5,0.227350427350427
"4002",15.2,0.482051282051282
"44",1.9,0.29635761589404
"48",4.3,0.44205298013245
"53",3.7,0.503311258278146
"65",3,0.564569536423841
"70",5.5,0.105960264900662
"110",6.9,0.413907284768212
"111",6.5,0.264900662251656
"120",7.7,0.485099337748344
"140",10,0.339403973509934
"147",7.5,0.516556291390728
"160",6.6,0.25
"173",6.5,0.205298013245033
"176",9.8,0.100993377483444
"178",10,0.567880794701987
"183",7.4,0.158940397350993
"187",8.7,0.281456953642384
"199",7.9,0.400662251655629
"200",9,0.309602649006623
"214",5.8,0.460264900662252
"216",9,0.294701986754967
"228",11.9,0.210264900662252
"229",9.4,0.408940397350993
"255",11.9,0.216887417218543
"276",6.7,0.433774834437086
"277",11.7,0.317880794701987
"290",11.9,0.458609271523179
"301",12.6,0.309602649006623
"311",17.1,0.134105960264901
"312",9.8,0.369205298013245
"333",13.6,0.352649006622517
"379",3,0.43046357615894
"400",5.3,0.697019867549669
"404",5.3,0.450331125827815
"420",4.9,0.456953642384106
"422",7.5,0.271523178807947
"437",8.1,0.344370860927152
"440",5,0.20364238410596
"444",9.1,0.314569536423841
"454",7.8,0.235099337748344
"459",8.2,0.508278145695364
"462",5.3,0.157284768211921
"466",7,0.18046357615894
"475",4.5,0.324503311258278
"478",10.1,0.160596026490066
"492",9.6,0.375827814569536
"501",7.3,0.604304635761589
"502",7.5,0.412251655629139
"514",8.7,0.23841059602649
"526",7.1,0.456953642384106
"536",7.5,0.254966887417219
"581",11.8,0.283112582781457
"595",11.7,0.379139072847682
"604",11.2,0.326158940397351
"616",9.1,0.392384105960265
"619",13.3,0.269867549668874
"620",10,0.175496688741722
"621",15,0.150662251655629
"625",9.7,0.254966887417219
"642",14.1,0.420529801324503
"689",4.3,0.587748344370861
"726",6.8,0.493377483443709
"728",4.8,0.470198675496689
"731",6,0.506622516556291
"754",4.7,0.556291390728477
"760",7.8,0.236754966887417
"762",7.6,0.753311258278146
"765",7.6,0.592715231788079
"772",6.3,0.437086092715232
"773",8.4,0.529801324503311
"775",8.2,0.225165562913907
"777",4.5,0.592715231788079
