"","mo","wdsp","sndp","fog","NUM_CRIMES"
"1634",5,11.8,999.9,0,0.683760683760684
"1643",5,9.9,999.9,0,0.618803418803419
"1649",5,16.4,999.9,0,0.452991452991453
"1651",5,17.3,999.9,0,0.505982905982906
"1661",5,6.5,999.9,0,0.67008547008547
"1701",6,4.4,999.9,0,0.676923076923077
"1707",6,5.4,999.9,0,0.786324786324786
"1708",6,3.4,999.9,0,0.647863247863248
"1720",6,4.6,999.9,0,0.776068376068376
"1724",6,5.7,999.9,0,0.627350427350427
"1779",6,6.3,999.9,0,0.651282051282051
"1787",6,5.7,999.9,0,0.692307692307692
"1792",6,7.9,999.9,0,0.685470085470085
"1793",6,8.6,999.9,0,0.728205128205128
"1794",6,5.3,999.9,0,0.892307692307692
"1801",6,7.7,999.9,0,0.846153846153846
"1805",6,5.8,999.9,0,0.758974358974359
"1816",6,6.6,999.9,0,0.765811965811966
"1828",6,8.8,999.9,0,0.642735042735043
"1836",6,10.1,999.9,0,0.707692307692308
"1858",6,7,999.9,0,0.714529914529915
"1867",6,7.4,999.9,0,0.603418803418803
"1872",6,6.8,999.9,0,0.776068376068376
"1882",6,8.2,999.9,0,0.642735042735043
"1887",6,8.8,999.9,0,0.758974358974359
"1901",6,8.2,999.9,0,0.897435897435897
"1902",6,7.7,999.9,0,0.786324786324786
"1911",6,9.5,999.9,0,0.733333333333333
"1918",6,10.3,999.9,0,0.776068376068376
"1927",6,11.5,999.9,0,0.671794871794872
"1930",6,7.3,999.9,0,0.593162393162393
"1960",6,11,999.9,0,0.969230769230769
"1981",6,11.8,999.9,0,0.65982905982906
"1988",6,10.8,999.9,1,0.528205128205128
"1990",6,9.3,999.9,1,0.765811965811966
"2026",7,2.8,999.9,0,0.723076923076923
"2031",7,4.1,999.9,0,0.842735042735043
"2040",7,4.2,999.9,0,0.676923076923077
"2048",7,4.4,999.9,0,0.717948717948718
"2059",7,7.6,999.9,0,0.817094017094017
"2068",7,3.1,999.9,0,0.769230769230769
"2076",7,7,999.9,0,0.72991452991453
"2097",7,6.7,999.9,0,0.717948717948718
"2100",7,6.2,999.9,0,0.642735042735043
"2112",7,6.1,999.9,0,0.916239316239316
"2115",7,5.7,999.9,0,0.745299145299145
"2122",7,5.2,999.9,0,0.564102564102564
"2126",7,7,999.9,0,0.711111111111111
"2133",7,4.1,999.9,0,0.646153846153846
"2141",7,5.2,999.9,0,0.664957264957265
"2155",7,7.8,999.9,0,0.712820512820513
"2164",7,6,999.9,0,0.65982905982906
"2170",7,5.2,999.9,1,0.699145299145299
"2175",7,9.6,999.9,0,0.611965811965812
"2189",7,8.5,999.9,0,0.753846153846154
"2229",7,5.1,999.9,0,0.705982905982906
"2231",7,10.8,999.9,0,0.794871794871795
"2235",7,6.1,999.9,0,0.741880341880342
"2249",7,9.9,999.9,0,0.68034188034188
"2279",7,4.8,999.9,1,0.594871794871795
"2294",7,7.6,999.9,0,0.625641025641026
"2310",7,7.7,999.9,0,0.747008547008547
"2320",7,5.4,999.9,0,0.658119658119658
"2328",7,7,999.9,0,0.811965811965812
"2330",7,11.1,999.9,0,0.818803418803419
"2335",7,7.4,999.9,0,0.747008547008547
"2372",8,2.1,999.9,0,0.512820512820513
"2374",8,3.8,999.9,0,0.629059829059829
"2387",8,5.5,999.9,0,1
"2391",8,4.4,999.9,0,0.651282051282051
"2398",8,3.6,999.9,0,0.683760683760684
"2403",8,5.1,999.9,0,0.67008547008547
"2413",8,5.3,999.9,0,0.652991452991453
"2428",8,4.4,999.9,0,0.716239316239316
"2433",8,5.5,999.9,0,0.647863247863248
"2434",8,3.3,999.9,0,0.678632478632479
"2449",8,4.7,999.9,0,0.842735042735043
"2464",8,5,999.9,0,0.882051282051282
"2469",8,4.1,999.9,0,0.776068376068376
"2483",8,6.5,999.9,0,0.842735042735043
"2496",8,7.9,999.9,0,0.622222222222222
"2502",8,7.5,999.9,0,0.748717948717949
"2506",8,6.1,999.9,0,0.605128205128205
"2524",8,7.5,999.9,0,0.726495726495726
"2558",8,6.6,999.9,0,0.815384615384615
"2565",8,8.9,999.9,0,0.61025641025641
"2569",8,3.8,999.9,0,0.463247863247863
