"","day","temp","NUM_CRIMES"
"2653",7,68.1,0.545299145299145
"2661",3,80.7,0.808547008547009
"2667",6,73.7,0.658119658119658
"2708",6,56,0.505982905982906
"2722",6,66.9,0.75042735042735
"2724",5,53.4,0.702564102564103
"2727",2,62.6,0.538461538461538
"2728",5,55.8,0.617094017094017
"2742",4,83.8,0.909401709401709
"2745",3,59,0.564102564102564
"2751",3,57.4,0.485470085470085
"2775",2,72,0.642735042735043
"2776",1,65,0.574358974358974
"2792",7,57.9,0.439316239316239
"2794",7,70.6,0.533333333333333
"2797",6,80.4,0.588034188034188
"2811",4,58.6,0.815384615384615
"2820",4,51.9,0.52991452991453
"2833",5,86.1,0.747008547008547
"2861",7,69.6,0.543589743589744
"2872",6,59.7,0.557264957264957
"2892",1,57.5,0.494017094017094
"2895",2,56.4,0.504273504273504
"2903",1,74.2,0.687179487179487
"2919",3,66.2,0.555555555555556
"2920",7,59.6,0.452991452991453
"2929",2,61.1,0.494017094017094
"2938",4,58.1,0.570940170940171
"2949",5,66.1,0.723076923076923
"2980",3,64,0.57948717948718
"2990",1,61.2,0.482051282051282
"2995",5,53.7,0.630769230769231
"2999",4,66.2,0.48034188034188
"3044",3,64.4,0.535042735042735
"3045",7,51.6,0.468376068376068
"3050",2,58.4,0.541880341880342
"3054",5,45.7,0.61025641025641
"3062",3,67,0.705982905982906
"3065",4,66.9,0.543589743589744
"3072",6,49.9,0.61025641025641
"3075",2,68.6,0.637606837606838
"3085",7,68.9,0.598290598290598
"3097",5,44.2,0.671794871794872
"3102",1,57.1,0.490598290598291
"3106",7,54.5,0.664957264957265
"3115",1,66.8,0.415384615384615
"3120",5,70.6,0.687179487179487
"3137",4,62.4,0.299145299145299
"3160",6,71.9,0.618803418803419
"3173",7,54.8,0.41025641025641
"3187",2,46.6,0.454700854700855
"3192",1,46.5,0.654700854700855
"3198",6,46.1,0.504273504273504
"3217",4,47.1,0.517948717948718
"3229",2,59.3,0.697435897435897
"3230",6,49.7,0.717948717948718
"3232",1,49,0.452991452991453
"3236",3,53,0.553846153846154
"3315",5,54.9,0.630769230769231
"3324",3,47.1,0.386324786324786
"3325",7,45.1,0.514529914529914
"3327",6,54.1,0.528205128205128
"3340",1,56.2,0.634188034188034
"3342",4,44.4,0.401709401709402
"3469",2,49.4,0.941880341880342
"3474",3,41.1,0.55042735042735
"3480",6,46.2,0.430769230769231
"3488",3,58.3,0.548717948717949
"3491",1,54.1,0.370940170940171
"3515",1,42.2,0.476923076923077
"3520",2,50.3,0.694017094017094
"3522",5,36,0.524786324786325
"3528",1,36.8,0.418803418803419
"3530",1,48.6,0.52991452991453
"3535",4,42.5,0.0991452991452991
"3538",6,45.9,0.58974358974359
"3545",6,53.8,0.384615384615385
"3547",3,42,0.394871794871795
"3552",2,42.9,0.341880341880342
"3558",5,46.9,0.48034188034188
"3569",5,47,0.601709401709402
"3584",2,51.2,0.372649572649573
"3591",7,43.5,0.295726495726496
"3593",7,46.8,0.452991452991453
"3594",4,32.1,0.441025641025641
"3607",4,36.8,0.362393162393162
"3630",7,52.5,0.492307692307692
"3632",6,47.7,0.441025641025641
"3635",7,58.6,0.48034188034188
"3636",5,38.2,0.473504273504273
"3640",3,33.8,0.411965811965812
"3665",3,48.3,0.411965811965812
"3670",4,48.6,0.355555555555556
"3674",2,40.8,0.408547008547009
"3724",2,41.3,0.552136752136752
"3727",6,29.7,0.278632478632479
"3743",4,36.8,0.683760683760684
"3765",1,35.6,0.45982905982906
"3799",6,19.3,0.391452991452991
"3807",5,37.9,0.593162393162393
"3810",6,43.4,0.381196581196581
"3824",3,39.6,0.485470085470085
"3836",4,37.3,0.388034188034188
"3837",1,34.5,0.102564102564103
"3840",7,30.8,0.312820512820513
"3845",7,33.1,0.305982905982906
"3851",5,28,0.355555555555556
"3855",4,29.7,0.302564102564103
"3859",5,40.7,0.418803418803419
"3860",6,30.2,0.138461538461538
"3880",6,36,0.239316239316239
"3883",2,38.4,0.558974358974359
"3886",3,27.2,0.34017094017094
"3894",2,35.8,0.379487179487179
"3896",5,31.1,0.507692307692308
"3901",5,30.6,0.461538461538462
"3908",3,31,0.309401709401709
"3909",1,45.1,0.490598290598291
"3925",1,37.5,0.482051282051282
"3930",4,37.1,0.360683760683761
"3948",3,45.1,0.439316239316239
"3971",7,46.7,0.394871794871795
"3990",2,36.9,0.227350427350427
"4002",4,47.8,0.482051282051282
"44",7,33.7,0.29635761589404
"48",3,41.8,0.44205298013245
"53",4,34.1,0.503311258278146
"65",3,29.4,0.564569536423841
"70",5,11.3,0.105960264900662
"110",4,35.8,0.413907284768212
"111",6,17.3,0.264900662251656
"120",5,46.8,0.485099337748344
"140",1,35.3,0.339403973509934
"147",5,36.9,0.516556291390728
"160",7,20.1,0.25
"173",4,32.3,0.205298013245033
"176",7,23.9,0.100993377483444
"178",2,49.2,0.567880794701987
"183",6,22.2,0.158940397350993
"187",3,18.4,0.281456953642384
"199",6,40.8,0.400662251655629
"200",2,18.7,0.309602649006623
"214",2,40.2,0.460264900662252
"216",3,31,0.294701986754967
"228",4,20.3,0.210264900662252
"229",1,33.1,0.408940397350993
"255",5,19.7,0.216887417218543
"276",1,35,0.433774834437086
"277",7,29.5,0.317880794701987
"290",2,31,0.458609271523179
"301",6,32,0.309602649006623
"311",1,24.8,0.134105960264901
"312",2,36.4,0.369205298013245
"333",1,39.1,0.352649006622517
"379",4,37.6,0.43046357615894
"400",3,42.6,0.697019867549669
"404",2,33.5,0.450331125827815
"420",5,36.4,0.456953642384106
"422",7,31.7,0.271523178807947
"437",4,27.5,0.344370860927152
"440",7,35.1,0.20364238410596
"444",3,31.3,0.314569536423841
"454",6,35.9,0.235099337748344
"459",3,36.8,0.508278145695364
"462",1,32.5,0.157284768211921
"466",1,27.2,0.18046357615894
"475",4,35.7,0.324503311258278
"478",7,22.4,0.160596026490066
"492",6,36.8,0.375827814569536
"501",5,37.4,0.604304635761589
"502",4,40.2,0.412251655629139
"514",1,31.4,0.23841059602649
"526",3,37.8,0.456953642384106
"536",2,30.9,0.254966887417219
"581",6,25,0.283112582781457
"595",2,37.8,0.379139072847682
"604",1,36.4,0.326158940397351
"616",2,31.5,0.392384105960265
"619",5,33,0.269867549668874
"620",7,32.3,0.175496688741722
"621",6,14.7,0.150662251655629
"625",5,31.4,0.254966887417219
"642",3,48.8,0.420529801324503
"689",5,62.5,0.587748344370861
"726",7,70.5,0.493377483443709
"728",6,54.8,0.470198675496689
"731",2,57.9,0.506622516556291
"754",5,63.3,0.556291390728477
"760",1,28.5,0.236754966887417
"762",3,76.6,0.753311258278146
"765",1,70.3,0.592715231788079
"772",7,56.4,0.437086092715232
"773",5,46.1,0.529801324503311
"775",7,30.2,0.225165562913907
"777",4,72.5,0.592715231788079
"788",6,41.4,0.425496688741722
"808",6,69.7,0.743377483443709
"813",4,70.8,0.627483443708609
"817",4,45.4,0.541390728476821
"820",7,52.5,0.304635761589404
"856",3,64.2,0.51158940397351
"888",5,35.9,0.55794701986755
"918",5,37.2,0.43046357615894
"931",2,50.5,0.408940397350993
"932",2,75.2,0.614238410596026
"945",1,43.5,0.347682119205298
"954",3,62.4,0.480132450331126
"956",6,39,0.447019867549669
"960",1,59.7,0.481788079470199
"966",4,49,0.498344370860927
"983",6,33,0.263245033112583
"987",4,36.9,0.698675496688742
"988",3,59.9,0.544701986754967
"989",2,44.8,0.524834437086093
"1044",1,56.2,0.410596026490066
"1050",6,50.7,0.586092715231788
"1056",2,50.5,0.455298013245033
"1059",3,41,0.495033112582781
"1092",4,47.1,0.5
"1098",7,50.2,0.625827814569536
"1100",4,58,0.562913907284768
"1104",1,52.1,0.342715231788079
"1109",5,43.8,0.566225165562914
"1113",5,43.7,0.466887417218543
"1149",2,58.1,0.435430463576159
"1150",2,48,0.559602649006622
"1152",3,56.2,0.548013245033113
"1156",6,58.1,0.53476821192053
"1173",3,54.8,0.427152317880795
"1181",2,42.1,0.369205298013245
"1191",5,54.4,0.526490066225166
"1202",7,49.2,0.301324503311258
"1207",4,50.4,0.503311258278146
"1220",1,47.2,0.519867549668874
"1226",7,56.2,0.329470198675497
"1243",4,45.5,0.43046357615894
"1244",6,46.9,0.425496688741722
"1250",7,45.2,0.336092715231788
"1255",7,66.9,0.589403973509934
"1256",6,43.8,0.422185430463576
"1257",3,51.2,0.403973509933775
"1282",5,45.7,0.490066225165563
"1306",1,54,0.491721854304636
"1320",1,58.5,0.513245033112583
