day,year,mo,da,crime_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_CRIMES
4,2011,06,16,2011-06-16,64.9,9999.9,9999.9,999.9,10.4,18.1,999.9,68.5,60.3,0.0,999.9,0,1029
5,2011,06,17,2011-06-17,62.6,9999.9,9999.9,999.9,6.0,11.1,999.9,68.9,59.9,0.0,999.9,0,1175
5,2011,06,17,2011-06-17,73.8,60.0,1009.0,10.0,5.3,12.0,17.1,82.0,64.0,0.03,999.9,0,1175
6,2011,06,18,2011-06-18,72.2,60.9,1009.6,9.9,5.7,12.0,999.9,82.9,63.0,0.0,999.9,0,1058
6,2011,06,18,2011-06-18,59.2,9999.9,9999.9,999.9,8.4,12.0,999.9,65.5,57.2,0.0,999.9,0,1058
7,2011,06,19,2011-06-19,63.7,9999.9,9999.9,999.9,8.5,15.9,999.9,73.6,58.1,0.0,999.9,0,1049
7,2011,06,19,2011-06-19,74.0,64.1,1007.3,9.0,4.4,8.0,999.9,82.9,64.9,0.0,999.9,0,1049
1,2011,06,20,2011-06-20,74.1,67.0,1006.0,9.0,6.8,15.0,22.9,82.0,69.1,0.6,999.9,0,1107
1,2011,06,20,2011-06-20,68.4,9999.9,9999.9,999.9,11.3,28.9,999.9,73.6,64.0,0.0,999.9,0,1107
2,2011,06,21,2011-06-21,73.4,9999.9,9999.9,999.9,15.0,26.0,999.9,84.0,67.1,0.0,999.9,0,1067
2,2011,06,21,2011-06-21,80.2,69.6,1004.2,9.9,10.1,14.0,22.0,89.1,73.9,1.23,999.9,0,1067
3,2011,06,22,2011-06-22,70.1,9999.9,9999.9,999.9,20.8,50.9,999.9,81.9,65.8,0.0,999.9,0,1039
3,2011,06,22,2011-06-22,71.6,64.0,1001.7,9.7,11.8,24.1,42.0,84.9,66.9,0.08,999.9,0,1039
4,2011,06,23,2011-06-23,66.2,9999.9,9999.9,999.9,17.1,22.9,999.9,68.9,63.3,0.0,999.9,0,1046
4,2011,06,23,2011-06-23,67.0,59.9,1001.7,8.9,11.5,17.1,31.1,72.0,62.6,0.02,999.9,0,1046
5,2011,06,24,2011-06-24,62.5,9999.9,9999.9,999.9,13.1,20.0,999.9,66.4,59.7,0.0,999.9,0,1029
5,2011,06,24,2011-06-24,63.8,55.7,1006.5,9.7,8.8,14.0,24.1,68.0,60.1,0.04,999.9,0,1029
6,2011,06,25,2011-06-25,69.9,53.8,1012.5,10.0,5.4,8.9,999.9,78.1,61.0,0.0,999.9,0,1113
6,2011,06,25,2011-06-25,65.2,9999.9,9999.9,999.9,7.4,12.0,999.9,66.7,62.6,0.0,999.9,0,1113
