"","temp","year"
"3296",54.9,2012
"3297",45.5,2012
"3300",46.5,2012
"3308",70.8,2012
"3311",65,2012
"3328",65.5,2012
"3333",43.5,2012
"3343",52.9,2012
"3389",41.8,2012
"3392",52.4,2012
"3394",38.3,2012
"3395",42.7,2012
"3398",45.6,2012
"3399",43.4,2012
"3410",49.9,2012
"3414",34.8,2012
"3415",36.9,2012
"3418",37.2,2012
"3420",27.9,2012
"3423",45.9,2012
"3431",40.5,2012
"3433",34,2012
"3435",45.8,2012
"3447",45.7,2012
"3453",41.7,2012
"3456",44.9,2012
"3457",43.8,2012
"3482",40.6,2012
"3484",34.7,2012
"3486",43.2,2012
"3490",43.1,2012
"3524",58.9,2012
"3570",29,2012
"3578",32.8,2012
"3595",53.3,2012
"3617",39.2,2012
"3648",39.2,2012
"3672",63.4,2012
"3734",31.4,2012
"3742",38.1,2012
"3757",28.9,2012
"3769",39.5,2012
"3776",44.7,2012
"3779",24,2012
"3803",33.7,2012
"3805",39.5,2012
"3815",46.5,2012
"3830",38.5,2012
"3834",34.5,2012
"3835",47.1,2012
"3848",41.4,2012
"3856",39.2,2012
"3866",32.7,2012
"3889",35.7,2012
"3898",30.5,2012
"3900",30.7,2012
"3922",30.1,2012
"3926",39.5,2012
"3931",37.9,2012
"3932",45.1,2012
"3937",59.1,2012
"3943",35.1,2012
"3945",24,2012
"3957",58,2012
"3997",43.9,2012
"3999",33.1,2012
"4001",57.3,2012
"4011",30.7,2012
"41",22.5,2013
"90",14,2013
"103",33,2013
"106",18.2,2013
"108",21.5,2013
"114",26,2013
"130",28.5,2013
"152",5.6,2013
"154",29.9,2013
"156",35.7,2013
"186",48.2,2013
"212",17.7,2013
"220",47.9,2013
"233",29.9,2013
"241",21.8,2013
"244",31.9,2013
"250",43,2013
"258",43.3,2013
"260",23.7,2013
"262",41,2013
"270",12.6,2013
"284",27.2,2013
"286",26.4,2013
"295",52.7,2013
"298",19.8,2013
"306",41.1,2013
"314",14.4,2013
"325",28.3,2013
"329",23.6,2013
"339",27.6,2013
"392",26.8,2013
"402",29.6,2013
"403",32.4,2013
"407",34.2,2013
"414",18.1,2013
"431",24.4,2013
"438",31.7,2013
"451",19.7,2013
"468",29.7,2013
"480",33.5,2013
"495",26.9,2013
"506",18.4,2013
"519",22.6,2013
"533",24.7,2013
"547",29.6,2013
"574",37.8,2013
"578",30.9,2013
"592",15.5,2013
"593",6.8,2013
"598",33.7,2013
"603",37.8,2013
"607",28.2,2013
"626",34.7,2013
"630",38.1,2013
"631",28.4,2013
"635",23.9,2013
"648",38.5,2013
"691",28.9,2013
"692",33.2,2013
"695",38.6,2013
"702",33.3,2013
"706",35.4,2013
"718",37.7,2013
"723",42.8,2013
"725",29.2,2013
"735",46.9,2013
"741",24.7,2013
"761",27.4,2013
"779",32.7,2013
"781",23,2013
"782",36,2013
"802",36.6,2013
"804",27.8,2013
"814",31.9,2013
"840",31.9,2013
"846",34,2013
"847",43.6,2013
"874",29,2013
"876",31.2,2013
"892",44.9,2013
"912",33.1,2013
"924",28.9,2013
"926",32.2,2013
"930",22.5,2013
"936",50.2,2013
"962",34.8,2013
"968",34,2013
"982",25.2,2013
"1034",56.6,2013
"1049",35.3,2013
"1055",46.7,2013
"1080",54.6,2013
"1090",52.7,2013
"1097",41.5,2013
